n,residue_mod_16,alpha,separation_index,arc_vertices,complement_vertices,arc_bulk_cells,lambda_1,lambda_2,lambda_1_squared,lambda_2_squared,rho_squared,mean_interface_level_squared,level_splitting_squared,mean_gap_from_c6
100,4,-1,0,6,94,0,2.83099651741117,2.79292810326264,8.014541281594173,7.800447389994249,8.062095283334392,7.907494335794211,0.21409389159992465,0.002125024173883716
100,4,1,0,6,94,0,2.8309965061868834,2.79382821456963,8.014541218042341,7.805476092525327,8.062095287151106,7.910008655283834,0.2090651255170144,0.004639343663506601
100,4,-1,1,10,90,1,2.8128563546753194,2.8042734092665342,7.912160872037326,7.863949353919351,7.912160872037333,7.888055112978338,0.048211518117975416,-0.01731419864198891
100,4,1,1,10,90,1,2.8128566430540793,2.804270178043575,7.912162494373464,7.863931231464543,7.912162494373464,7.888046862919003,0.04823126290892166,-0.017322448701324156
100,4,-1,2,14,86,2,2.8129620112932154,2.810057448896564,7.912755276978772,7.896422866099065,7.959134568710548,7.904589071538918,0.016332410879707382,-0.0007802400814087562
100,4,1,2,14,86,2,2.812960522903601,2.810060340465132,7.912746903414101,7.896439117055014,7.959134772274634,7.904593010234557,0.016307786359087473,-0.0007763013857697842
100,4,-1,3,18,82,3,2.8133554272999617,2.809045355034336,7.91496876031815,7.890735806639978,7.914968760318158,7.9028522834790635,0.024232953678171576,-0.002517028141263644
100,4,1,3,18,82,3,2.813356237972923,2.80904300355289,7.914973321741158,7.890722595809441,7.914973321741158,7.9028479587752996,0.024250725931716843,-0.0025213528450276357
100,4,-1,4,22,78,4,2.8118076214986245,2.811439331144286,7.906262100317752,7.904191112705029,7.925654978389707,7.905226606511391,0.002070987612722952,-0.0001427051089359921
100,4,1,4,22,78,4,2.811813008175451,2.8114333353724525,7.906292392944678,7.9041573992434735,7.925656846045003,7.905224896094076,0.002134993701204735,-0.00014441552625132914
100,4,-1,5,26,74,5,2.8124307751992808,2.8107175553687087,7.909766865288027,7.90013317605785,7.909766865288033,7.904950020672938,0.009633689230176934,-0.00041929094738879513
100,4,1,5,26,74,5,2.812433629021772,2.8107132653104334,7.909782917652574,7.9001090597920385,7.909782917652574,7.904945988722306,0.009673857860535762,-0.0004233228980208281
100,4,-1,6,30,70,6,2.8117866244580725,2.8115025074614266,7.906144021481322,7.9045463494618895,7.913051234617121,7.905345185471606,0.0015976720194323946,-2.412614872149277e-05
100,4,1,6,30,70,6,2.8118021425753943,2.8114857932365616,7.906231288991578,7.904452365571018,7.913059802857688,7.905341827281298,0.0017789234205602966,-2.748433902954872e-05
100,4,-1,7,34,66,7,2.8119468194824813,2.81132741699149,7.907044915597642,7.903561845528044,7.907044915597642,7.905303380562843,0.0034830700695982486,-6.593105748375905e-05
100,4,1,7,34,66,7,2.811955903466311,2.8113168934062274,7.907096003039037,7.903502675151241,7.907096003039044,7.905299339095139,0.003593327887795539,-6.997252518825547e-05
100,4,-1,8,38,62,8,2.8116884024697213,2.811608351974046,7.905591672582734,7.905141524890211,7.908195151400121,7.905366598736473,0.00045014769252293974,-2.712883854449899e-06
100,4,1,8,38,62,8,2.8117336047100476,2.811561773655581,7.905845863855759,7.904879607081317,7.908224642981676,7.905362735468538,0.0009662567744417316,-6.576151789339235e-06
100,4,-1,9,42,58,9,2.8117455227872497,2.8115491441087186,7.905912884914144,7.904808589738468,7.905912884914149,7.905360737326306,0.0011042951756756736,-8.574294021457263e-06
100,4,1,9,42,58,9,2.81177258782689,2.8115206317617516,7.906065085654727,7.904648262821999,7.906065085654727,7.905356674238362,0.0014168228327280374,-1.2637381964886174e-05
100,4,-1,10,46,54,10,2.81169053305492,2.8116063576932397,7.905603653670659,7.905130310621046,7.906349113448169,7.9053669821458525,0.00047334304961310636,-2.3294744746493734e-06
100,4,1,10,46,54,10,2.8117365109197507,2.8115589484579093,7.905862206839173,7.904863720653744,7.906439015457043,7.905362963746459,0.0009984861854288596,-6.347873868328691e-06
100,4,-1,11,50,50,11,2.8116486788938024,2.8116486788938015,7.905368293525265,7.905368293525259,7.905368293525265,7.905368293525262,5.329070518200751e-15,-1.018095065141722e-06
100,4,1,11,50,50,11,2.8117270019016827,2.8115689061563125,7.905808733223025,7.904919714065003,7.905808733223025,7.905364223644014,0.0008890191580217532,-5.087976313156162e-06
108,12,-1,0,6,102,0,2.8309965130703167,2.7930620725862987,8.014541257016292,7.80119574132007,8.062095284870603,7.907868499168181,0.21334551569622207,0.0024991875478539427
108,12,1,0,6,102,0,2.830996510527746,2.7938135377819,8.014541242620275,7.805394083893416,8.062095285614886,7.909967663256846,0.20914715872685896,0.004598351636518672
108,12,-1,1,10,98,1,2.8128564499744333,2.8042725109620674,7.912161408162771,7.863944315737498,7.912161408162777,7.888052861950134,0.048217092425272945,-0.017316449670192746
108,12,1,1,10,98,1,2.812856547765396,2.8042710782787443,7.912161958306663,7.863936280470631,7.912161958306667,7.888049119388647,0.04822567783603127,-0.01732019223168013
108,12,-1,2,14,94,2,2.8129615188720196,2.81005836486109,7.91275250665478,7.8964280139257825,7.959134642297184,7.904590260290281,0.016324492728997164,-0.0007790513300465207
108,12,1,2,14,94,2,2.812961015573505,2.810059425497113,7.912749675136325,7.896433974825165,7.959134698688822,7.904591824980745,0.016315700311160697,-0.0007774866395822144
108,12,-1,3,18,90,3,2.8133556970414473,2.8090446241777847,7.914970278075567,7.890731700622111,7.914970278075567,7.902850989348839,0.024238577453456145,-0.0025183222714879605
108,12,1,3,18,90,3,2.813355968309441,2.809043735131997,7.914971804422353,7.890726705884321,7.914971804422356,7.9028492551533365,0.024245098538032472,-0.0025200564669907166
108,12,-1,4,22,86,4,2.8118093765149172,2.81143739217088,7.906271969857207,7.904180210096598,7.925655614617243,7.905226089976903,0.0020917597606091576,-0.00014322164342406296
108,12,1,4,22,86,4,2.811811256138139,2.8114352780651775,7.90628254014514,7.904168322749421,7.925656209891738,7.905225431447281,0.0021142173957189314,-0.0001438801730460071
108,12,-1,5,26,82,5,2.812431713043991,2.810716183400715,7.9097721405355585,7.900125463630681,7.9097721405355585,7.904948802083119,0.009646676904877971,-0.00042050953720806916
108,12,1,5,26,82,5,2.8124326920672553,2.8107146393604707,7.909777647408669,7.900116783915261,7.909777647408669,7.904947215661965,0.009660863493407668,-0.0004220959583625117
108,12,-1,6,30,78,6,2.811791685719928,2.8114971050598276,7.906172483883713,7.904515971759792,7.913054071506785,7.905344227821752,0.001656512123921594,-2.5083798575131766e-05
108,12,1,6,30,78,6,2.8117971030908637,2.8114912210852427,7.906202948950173,7.904482886239389,7.913056967476718,7.905342917594782,0.0017200627107838429,-2.6394025545606326e-05
